id,username,email,role,Make,Acceleration 0 - 100 km/h,Top Speed,Electric Range,Total Power,Total Torque,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Maintenance Cost,Battery Capacity,Pincode,Date,Time,Location Longitude,Location Latitude,Status,Drive,Battery Level,Range
1,imay,perezstephen@martinez.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,4578.93,82,17055,15-05-2024,06:46:19,121.716041,16.461318,1,Rear,31,150.35
2,ftran,gwilkins@thomas.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4919.96,78,2692,18-03-2024,01:29:26,55.426207,-50.495529,1,Front,82,397.7
3,alicia29,amber82@moore-becker.org,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2414.56,82,30157,18-10-2024,09:55:07,-45.820719,-51.378782,0,Rear,73,354.05
4,rgarrison,hphillips@english-mcdonald.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,2517.94,78,95075,26-04-2024,18:56:17,102.649066,-18.475403,0,Front,37,179.45
5,jeanette43,fischerdonald@carson-duran.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4152.42,82,51781,01-11-2024,23:27:41,81.130104,-59.145829,1,AWD,78,378.3
6,mmyers,chad42@martinez-singh.com,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,1976.21,82,27479,21-06-2024,13:56:23,56.973323,70.249916,0,AWD,80,388
7,kathleen01,ingramcarmen@gmail.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,1546.38,82,87063,19-06-2024,06:23:39,-165.456099,4.08549,1,AWD,60,291
8,whernandez,stefanie06@yahoo.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4920.46,82,15290,31-08-2024,13:24:36,-113.31084,50.620884,1,AWD,30,145.5
9,nancyholt,jeffrey11@hotmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4961.78,78,79578,20-08-2024,05:07:50,23.085259,-50.028006,0,Front,65,315.25
10,bcopeland,littlemichelle@yahoo.com,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,4960.8,82,95403,11-10-2024,16:15:37,-5.846552,11.915737,1,AWD,71,344.35
11,robert45,garcialinda@willis.org,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,1097.5,78,57355,15-09-2024,08:32:00,-154.55247,56.362645,0,Front,73,354.05
12,kcastro,gwilliams@hotmail.com,Fleet Manager,BMW,5.7,190,470,250,430,4783,1852,1448,2856,2605,555,470,5,2863.86,83.9,84738,08-02-2024,06:00:08,73.488324,34.853551,1,Rear,39,189.15
13,levyjohn,chiggins@yahoo.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2871.98,82,85316,02-11-2024,08:25:19,-58.511886,83.277387,1,Rear,50,242.5
14,bentleylisa,robinsonhenry@hotmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3621.6,78,43618,08-02-2024,13:55:41,-118.026071,-52.01043,0,Front,43,208.55
15,danielmelissa,loretta55@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,2107.24,82,36759,22-06-2024,05:06:29,90.066495,73.052065,1,Rear,65,315.25
16,stephen42,joy52@gates-cook.org,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3659.46,82,71048,14-10-2024,06:04:10,-117.633083,82.84821,0,AWD,91,441.35
17,maria11,christy26@gmail.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,3439.69,78,35193,01-10-2024,16:37:02,-10.877028,-28.835793,1,Front,65,315.25
18,linda52,allen39@stout-graves.net,Fleet Manager,Tesla2,3.3,261,460,377,660,4694,1849,1443,2875,2232,388,561,5,4365.34,82,39325,20-10-2024,22:02:38,90.935865,37.466024,1,AWD,30,145.5
19,raymonddominguez,daviscarly@sullivan.net,Fleet Manager,Tesla1,4.4,233,485,366,493,4694,1849,1443,2875,2232,388,561,5,3555.67,82,46874,03-06-2024,12:50:47,87.050912,-22.782536,1,AWD,52,252.2
20,kirkjill,nguyenjeffrey@gmail.com,Fleet Manager,Volkswagen,7.9,160,450,150,310,4261,1809,1568,2771,2300,447,385,5,3829.52,82,32732,31-07-2024,20:08:55,-28.840745,58.168791,0,Rear,40,194
21,anthony33,scottcain@smith.com,Fleet Manager,Polestar,7.4,160,425,170,330,4607,1800,1479,2735,2490,496,405,5,4733.8,78,80745,06-07-2024,03:48:37,-82.512045,-65.700612,0,Front,63,305.55
